# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1977
#@/user_id	myrimedata-windows
dang dang wang wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wen suo wei wen da da de wa ao a wa wu wu wu wu wu wu wu wu wu wa da da an a a a a a a a a a wa wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu da da wei qu qi 	當當網嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚聞所未聞大大的凹凹阿佤嗚嗚嗚嗚嗚嗚嗚嗚嗚挖大答案啊啊啊啊啊啊啊啊阿佤嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚大大未娶妻	c=1 d=0.379083 t=1721
dang feng sha 	擋風沙	c=0 d=0.0199888 t=1721
dang feng sha de 	擋風沙的	c=1 d=0.20089 t=1721
dang shi wu di 	當世無敵	c=0 d=0.029671 t=1721
dao 	到	c=2 d=0.634448 t=1721
dao 	道	c=1 d=0.0536647 t=1721
dao jia 	道家	c=1 d=0.66365 t=1721
dao qian qi shi 	道歉啓事	c=0 d=0.0327915 t=1721
dao qian qi shi a du wu 	道歉啓事阿堵物	c=1 d=0.329559 t=1721
de 	得	c=1 d=0.637628 t=1721
de 	的	c=62 d=9.98581 t=1721
de da da a a a a a a a a a a a wei dai biao 	的大大啊啊啊啊啊啊啊啊啊啊啊爲代表	c=1 d=0.447088 t=1721
de dao 	得到	c=0 d=0.0285076 t=1721
de kai fa 	的開發	c=11 d=2.89272 t=1721
de kai fa jiang 	的開發將	c=1 d=0.690735 t=1721
de kai fa kuan 	的開發款	c=3 d=0.613044 t=1721
de kai fa kuan shi 	的開發款是	c=1 d=0.205975 t=1721
de kai fa li kai 	的開發離開	c=1 d=0.138069 t=1721
